utilization.gpu [%], memory.used [MiB]
0 %, 1510 MiB
10 %, 1505 MiB
8 %, 1504 MiB
8 %, 1504 MiB
9 %, 1505 MiB
8 %, 1504 MiB
9 %, 1510 MiB
8 %, 1509 MiB
8 %, 1510 MiB
8 %, 1510 MiB
5 %, 1510 MiB
9 %, 1515 MiB
9 %, 1514 MiB
21 %, 1514 MiB
20 %, 1508 MiB
15 %, 1508 MiB
15 %, 1505 MiB
17 %, 1505 MiB
9 %, 1505 MiB
19 %, 1505 MiB
19 %, 1518 MiB
8 %, 1518 MiB
8 %, 1514 MiB
8 %, 1505 MiB
7 %, 1505 MiB
7 %, 1502 MiB
7 %, 1500 MiB
8 %, 1500 MiB
8 %, 1505 MiB
8 %, 1505 MiB
8 %, 1505 MiB
7 %, 1505 MiB
7 %, 1505 MiB
9 %, 1514 MiB
10 %, 1517 MiB
8 %, 1514 MiB
8 %, 1505 MiB
8 %, 1510 MiB
25 %, 1518 MiB
19 %, 1518 MiB
19 %, 1511 MiB
11 %, 1517 MiB
19 %, 1507 MiB
14 %, 1508 MiB
19 %, 1507 MiB
17 %, 1507 MiB
17 %, 1507 MiB
15 %, 1521 MiB
17 %, 1523 MiB
8 %, 1515 MiB
8 %, 1523 MiB
1 %, 1587 MiB
6 %, 1584 MiB
5 %, 1542 MiB
1 %, 1548 MiB
