utilization.gpu [%], memory.used [MiB]
11 %, 1587 MiB
11 %, 1583 MiB
10 %, 1583 MiB
22 %, 1598 MiB
12 %, 1597 MiB
13 %, 1587 MiB
12 %, 1591 MiB
12 %, 1587 MiB
12 %, 1599 MiB
11 %, 1599 MiB
12 %, 1598 MiB
13 %, 1589 MiB
12 %, 1589 MiB
0 %, 1592 MiB
11 %, 1585 MiB
13 %, 1585 MiB
10 %, 1589 MiB
11 %, 1589 MiB
10 %, 1585 MiB
10 %, 1589 MiB
7 %, 1589 MiB
9 %, 1589 MiB
9 %, 1589 MiB
0 %, 1585 MiB
9 %, 1585 MiB
10 %, 1585 MiB
11 %, 1589 MiB
10 %, 1584 MiB
11 %, 1584 MiB
9 %, 1588 MiB
9 %, 1584 MiB
9 %, 1584 MiB
11 %, 1584 MiB
11 %, 1584 MiB
12 %, 1588 MiB
12 %, 1585 MiB
12 %, 1584 MiB
12 %, 1584 MiB
12 %, 1589 MiB
12 %, 1585 MiB
12 %, 1585 MiB
12 %, 1589 MiB
12 %, 1591 MiB
13 %, 1629 MiB
8 %, 1613 MiB
7 %, 1607 MiB
8 %, 1597 MiB
8 %, 1589 MiB
9 %, 1588 MiB
7 %, 1585 MiB
8 %, 1582 MiB
7 %, 1587 MiB
8 %, 1586 MiB
8 %, 1582 MiB
8 %, 1586 MiB
9 %, 1582 MiB
8 %, 1586 MiB
8 %, 1582 MiB
6 %, 1582 MiB
7 %, 1582 MiB
4 %, 1586 MiB
8 %, 1582 MiB
8 %, 1582 MiB
8 %, 1582 MiB
8 %, 1582 MiB
8 %, 1582 MiB
8 %, 1587 MiB
6 %, 1582 MiB
8 %, 1588 MiB
8 %, 1583 MiB
8 %, 1583 MiB
8 %, 1583 MiB
8 %, 1587 MiB
8 %, 1582 MiB
9 %, 1587 MiB
8 %, 1583 MiB
7 %, 1582 MiB
8 %, 1587 MiB
8 %, 1583 MiB
6 %, 1582 MiB
6 %, 1586 MiB
7 %, 1582 MiB
7 %, 1582 MiB
6 %, 1582 MiB
7 %, 1586 MiB
5 %, 1586 MiB
5 %, 1582 MiB
5 %, 1582 MiB
6 %, 1586 MiB
5 %, 1582 MiB
5 %, 1582 MiB
4 %, 1588 MiB
5 %, 1584 MiB
5 %, 1584 MiB
5 %, 1583 MiB
2 %, 1587 MiB
7 %, 1583 MiB
5 %, 1583 MiB
5 %, 1583 MiB
5 %, 1583 MiB
5 %, 1583 MiB
5 %, 1583 MiB
5 %, 1583 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1582 MiB
6 %, 1582 MiB
4 %, 1585 MiB
5 %, 1586 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1586 MiB
5 %, 1582 MiB
5 %, 1582 MiB
6 %, 1582 MiB
5 %, 1582 MiB
7 %, 1582 MiB
5 %, 1582 MiB
5 %, 1586 MiB
5 %, 1582 MiB
5 %, 1586 MiB
5 %, 1586 MiB
5 %, 1582 MiB
7 %, 1586 MiB
5 %, 1582 MiB
2 %, 1582 MiB
5 %, 1586 MiB
5 %, 1582 MiB
5 %, 1586 MiB
6 %, 1582 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1587 MiB
5 %, 1583 MiB
5 %, 1583 MiB
2 %, 1583 MiB
5 %, 1587 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1586 MiB
5 %, 1582 MiB
3 %, 1582 MiB
5 %, 1582 MiB
5 %, 1586 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1582 MiB
5 %, 1586 MiB
5 %, 1582 MiB
5 %, 1588 MiB
5 %, 1583 MiB
5 %, 1583 MiB
5 %, 1583 MiB
5 %, 1583 MiB
5 %, 1582 MiB
7 %, 1609 MiB
7 %, 1608 MiB
6 %, 1595 MiB
6 %, 1595 MiB
