utilization.gpu [%], memory.used [MiB]
2 %, 1713 MiB
4 %, 1690 MiB
25 %, 1671 MiB
12 %, 1681 MiB
37 %, 1665 MiB
5 %, 1644 MiB
5 %, 1627 MiB
6 %, 1627 MiB
20 %, 1622 MiB
20 %, 1639 MiB
3 %, 1646 MiB
2 %, 1647 MiB
8 %, 1626 MiB
1 %, 1626 MiB
5 %, 1625 MiB
19 %, 1616 MiB
2 %, 1627 MiB
1 %, 1554 MiB
1 %, 1633 MiB
3 %, 1637 MiB
8 %, 1591 MiB
3 %, 1585 MiB
7 %, 1593 MiB
13 %, 1567 MiB
4 %, 1574 MiB
11 %, 1596 MiB
7 %, 1549 MiB
23 %, 1556 MiB
16 %, 1556 MiB
15 %, 1548 MiB
2 %, 1533 MiB
2 %, 1538 MiB
2 %, 1537 MiB
5 %, 1535 MiB
10 %, 1531 MiB
14 %, 1535 MiB
11 %, 1518 MiB
13 %, 1480 MiB
11 %, 1479 MiB
12 %, 1497 MiB
9 %, 1497 MiB
59 %, 1502 MiB
3 %, 1454 MiB
7 %, 1477 MiB
4 %, 1477 MiB
0 %, 1479 MiB
13 %, 1478 MiB
3 %, 1478 MiB
1 %, 1476 MiB
1 %, 1481 MiB
25 %, 1501 MiB
11 %, 1501 MiB
1 %, 1501 MiB
1 %, 1501 MiB
72 %, 1489 MiB
1 %, 1479 MiB
1 %, 1471 MiB
18 %, 1471 MiB
1 %, 1471 MiB
1 %, 1471 MiB
1 %, 1471 MiB
10 %, 1471 MiB
2 %, 1491 MiB
24 %, 1491 MiB
0 %, 1491 MiB
17 %, 1486 MiB
6 %, 1486 MiB
0 %, 1487 MiB
0 %, 1487 MiB
0 %, 1487 MiB
3 %, 1487 MiB
3 %, 1488 MiB
12 %, 1493 MiB
6 %, 1493 MiB
5 %, 1493 MiB
0 %, 1492 MiB
4 %, 1482 MiB
0 %, 1482 MiB
0 %, 1481 MiB
0 %, 1477 MiB
0 %, 1477 MiB
0 %, 1477 MiB
0 %, 1477 MiB
0 %, 1477 MiB
0 %, 1481 MiB
0 %, 1497 MiB
1 %, 1496 MiB
