utilization.gpu [%], memory.used [MiB]
0 %, 1477 MiB
2 %, 1476 MiB
91 %, 1676 MiB
1 %, 1674 MiB
7 %, 1619 MiB
7 %, 1493 MiB
5 %, 1494 MiB
57 %, 1704 MiB
0 %, 1706 MiB
0 %, 1684 MiB
48 %, 1709 MiB
2 %, 1709 MiB
0 %, 1708 MiB
2 %, 1708 MiB
2 %, 1708 MiB
1 %, 1708 MiB
0 %, 1708 MiB
0 %, 1708 MiB
2 %, 1708 MiB
0 %, 1708 MiB
0 %, 1708 MiB
0 %, 1708 MiB
0 %, 1708 MiB
1 %, 1708 MiB
1 %, 1689 MiB
0 %, 1689 MiB
3 %, 1689 MiB
3 %, 1689 MiB
14 %, 1722 MiB
5 %, 1735 MiB
0 %, 1725 MiB
0 %, 1725 MiB
0 %, 1725 MiB
3 %, 1725 MiB
0 %, 1725 MiB
3 %, 1725 MiB
4 %, 1725 MiB
1 %, 1725 MiB
1 %, 1725 MiB
1 %, 1725 MiB
0 %, 1725 MiB
3 %, 1725 MiB
10 %, 1725 MiB
6 %, 1725 MiB
0 %, 1725 MiB
0 %, 1725 MiB
10 %, 1725 MiB
0 %, 1725 MiB
8 %, 1732 MiB
0 %, 1729 MiB
1 %, 1725 MiB
0 %, 1725 MiB
0 %, 1555 MiB
2 %, 1726 MiB
7 %, 1705 MiB
19 %, 1546 MiB
3 %, 1546 MiB
1 %, 1546 MiB
0 %, 1545 MiB
5 %, 1545 MiB
43 %, 1552 MiB
0 %, 1562 MiB
100 %, 1761 MiB
4 %, 1744 MiB
0 %, 1762 MiB
0 %, 1745 MiB
0 %, 1744 MiB
1 %, 1543 MiB
0 %, 1538 MiB
40 %, 1730 MiB
11 %, 1730 MiB
30 %, 1785 MiB
16 %, 1608 MiB
21 %, 1589 MiB
28 %, 1583 MiB
25 %, 1583 MiB
29 %, 1572 MiB
26 %, 1607 MiB
4 %, 1599 MiB
13 %, 1836 MiB
0 %, 1808 MiB
0 %, 1811 MiB
10 %, 1812 MiB
28 %, 1808 MiB
16 %, 1803 MiB
12 %, 1741 MiB
23 %, 1610 MiB
12 %, 1584 MiB
0 %, 1583 MiB
5 %, 1572 MiB
9 %, 1572 MiB
0 %, 1568 MiB
8 %, 1568 MiB
0 %, 1568 MiB
0 %, 1568 MiB
12 %, 1586 MiB
0 %, 1586 MiB
