lambda,pct_fast,pct_balanced,pct_heavy,pct_expensive,balanced_routing_acc,random_baseline_mean,random_baseline_std,sigma
0.15,50.0,50.0,0.0,50.0,0.95,0.9258,0.0053,4.5967
0.16,54.5,45.5,0.0,45.5,0.9422,0.9265,0.0052,3.0338
0.17,58.5,41.5,0.0,41.5,0.944,0.9267,0.0046,3.7633
0.18,65.0,35.0,0.0,35.0,0.9374,0.9258,0.0045,2.5987
0.19,69.17,30.83,0.0,30.83,0.9368,0.9256,0.0055,2.0506
0.2,74.0,26.0,0.0,26.0,0.9323,0.9258,0.0056,1.1567
