timestamp,duration_seconds_p95
1786676332.264,0.674792740548109
1786676337.264,0.4364027454301298
1786676342.264,0.8917105475475835
1786676347.264,0.9393540282896218
1786676352.264,0.9161975942545856
1786676357.264,0.9421621360955131
1786676362.264,0.9522888603783679
1786676367.264,0.9548513891069925
1786676372.264,0.9466486273258246
1786676377.264,0.9686630611669338
1786676382.264,1
1786676387.264,1
1786676392.264,1
1786676397.264,1
1786676402.264,1
1786676407.264,1
1786676412.264,1
1786676417.264,1
1786676422.264,1
1786676427.264,1
1786676432.264,1
1786676437.264,1
1786676442.264,1
1786676447.264,1
1786676452.264,1
1786676457.264,NaN
1786676462.264,NaN
1786676467.264,NaN
1786676472.264,NaN
1786676477.264,NaN
1786676482.264,NaN
1786676487.264,NaN
1786676492.264,NaN
1786676497.264,NaN
1786676502.264,NaN
1786676507.264,NaN
1786676512.264,NaN
1786676517.264,NaN
1786676522.264,NaN
1786676527.264,NaN
1786676532.264,NaN
1786676537.264,NaN
1786676542.264,NaN
1786676547.264,NaN
1786676552.264,NaN
1786676557.264,NaN
1786676562.264,NaN
1786676567.264,NaN
1786676572.264,NaN
1786676577.264,NaN
1786676582.264,NaN
1786676587.264,NaN
1786676592.264,NaN
1786676597.264,NaN
1786676602.264,NaN
1786676607.264,NaN
1786676612.264,NaN
1786676617.264,NaN
1786676622.264,NaN
1786676627.264,NaN
1786676632.264,NaN
1786676637.264,NaN
1786676642.264,0.3799999999999998
1786676647.264,0.47199985453487525
1786676652.264,0.4600000000000001
1786676657.264,0.44428571428571406
1786676662.264,0.46099999999999985
1786676667.264,0.4536001169499624
1786676672.264,0.45037051254077665
1786676677.264,0.4507139842093024
1786676682.264,1
1786676687.264,0.9882352941176469
1786676692.264,1
1786676697.264,1
1786676702.264,1
1786676707.264,1
1786676712.264,1
1786676717.264,1
1786676722.264,1
1786676727.264,1
1786676732.264,1
1786676737.264,1
1786676742.264,1
1786676747.264,1
1786676752.264,1
1786676757.264,1
1786676762.264,1
1786676767.264,1
1786676772.264,1
1786676777.264,1
1786676782.264,1
1786676787.264,1
1786676792.264,1
1786676797.264,0.46833692951087924
1786676802.264,0.3823551230343224
1786676807.264,0.7000006250767129
1786676812.264,0.8910714285714294
1786676817.264,0.8937501420592733
1786676822.264,0.8909092449463202
1786676827.264,0.9239123835063668
1786676832.264,0.9187500000000002
1786676837.264,0.9269995337869879
1786676842.264,0.9231486588319908
1786676847.264,1
1786676852.264,1
1786676857.264,1
1786676862.264,1
1786676867.264,1
1786676872.264,1
1786676877.264,1
1786676882.264,1
1786676887.264,1
1786676892.264,1
1786676897.264,1
1786676902.264,1
1786676907.264,1
1786676912.264,1
1786676917.264,1
1786676922.264,NaN
1786676927.264,NaN
1786676932.264,NaN
1786676937.264,NaN
1786676942.264,NaN
1786676947.264,NaN
1786676952.264,NaN
1786676957.264,NaN
1786676962.264,NaN
1786676967.264,NaN
1786676972.264,NaN
1786676977.264,NaN
1786676982.264,NaN
1786676987.264,NaN
1786676992.264,NaN
1786676997.264,NaN
1786677002.264,NaN
1786677007.264,NaN
1786677012.264,NaN
1786677017.264,NaN
1786677022.264,NaN
1786677027.264,NaN
1786677032.264,NaN
1786677037.264,NaN
1786677042.264,NaN
1786677047.264,NaN
1786677052.264,NaN
1786677057.264,NaN
1786677062.264,NaN
1786677067.264,NaN
1786677072.264,NaN
1786677077.264,NaN
1786677082.264,NaN
1786677087.264,NaN
1786677092.264,NaN
1786677097.264,NaN
1786677102.264,NaN
1786677107.264,NaN
1786677112.264,NaN
1786677117.264,NaN
1786677122.264,NaN
1786677127.264,NaN
1786677132.264,NaN
1786677137.264,NaN
1786677142.264,NaN
1786677147.264,NaN
1786677152.264,NaN
1786677157.264,NaN
1786677162.264,NaN
1786677167.264,NaN
1786677172.264,NaN
1786677177.264,NaN
1786677182.264,NaN
1786677187.264,NaN
1786677192.264,NaN
1786677197.264,NaN
1786677202.264,NaN
1786677207.264,NaN
1786677212.264,NaN
1786677217.264,NaN
1786677222.264,NaN
1786677227.264,NaN
1786677232.264,NaN
1786677237.264,0.43999999999999995
1786677242.264,0.4399995151162509
1786677247.264,0.43333333333333324
1786677252.264,0.41428571428571415
1786677257.264,0.40235294117647047
1786677262.264,0.40727272727272734
1786677267.264,0.4066669394137755
1786677272.264,0.4683333333333337
1786677277.264,0.6458348485950492
1786677282.264,0.9760871017392523
1786677287.264,1
1786677292.264,1
1786677297.264,1
1786677302.264,1
1786677307.264,1
1786677312.264,1
1786677317.264,1
1786677322.264,1
1786677327.264,1
1786677332.264,1
1786677337.264,1
1786677342.264,1
1786677347.264,1
1786677352.264,1
1786677357.264,1
1786677362.264,1
1786677367.264,1
1786677372.264,1
1786677377.264,1
1786677382.264,1
1786677387.264,1
1786677392.264,0.8163035744496501
1786677397.264,0.826666359582745
1786677402.264,0.8333333333333328
1786677407.264,0.8455881291222409
1786677412.264,0.8614864864864866
1786677417.264,0.9057291666666668
1786677422.264,1
1786677427.264,1
1786677432.264,1
1786677437.264,1
1786677442.264,1
1786677447.264,1
