timestamp,latency_ms_p99
1786999231.075,2985
1786999236.075,2966.666666666667
1786999241.075,2974
1786999246.075,2971.428571428571
1786999251.075,2970
1786999256.075,2969.090909090909
1786999261.075,2968.4615384615386
1786999266.075,2970
1786999271.075,2962.431528119266
1786999276.075,2961.816301367485
1786999281.075,2958.4931960251847
1786999286.075,3359.9999999999995
1786999291.075,3340.000000000008
1786999296.075,3200.0000000000123
1786999301.075,3300.000000000006
1786999306.075,3400.0000000000246
1786999311.075,3399.9999999999804
1786999316.075,3079.9999999999914
1786999321.075,3079.9999999999914
1786999326.075,3300.0000000000086
1786999331.075,3380.0000000000023
1786999336.075,3579.9999999999877
1786999341.075,2961.5
1786999346.075,2960.0000000000005
1786999351.075,2964
1786999356.075,2955.5
1786999361.075,2947
1786999366.075,2939.473684210526
1786999371.075,2949.473684210526
1786999376.075,2947.894736842105
1786999381.075,2951
1786999386.075,2950.526315789474
1786999391.075,2945.8823529411766
1786999396.075,2944
1786999401.075,2943.8461538461543
1786999406.075,2940.833333333333
1786999411.075,2948.0000000000005
1786999416.075,2958.7499999999995
1786999421.075,2975.714285714286
1786999426.075,2974
1786999431.075,2980
1786999436.075,2990
1786999441.075,NaN
1786999446.075,NaN
1786999451.075,NaN
1786999456.075,NaN
1786999461.075,NaN
1786999466.075,NaN
1786999471.075,NaN
1786999476.075,NaN
1786999481.075,NaN
1786999486.075,NaN
1786999491.075,NaN
1786999496.075,NaN
1786999501.075,NaN
1786999506.075,NaN
1786999511.075,NaN
1786999516.075,NaN
1786999521.075,NaN
1786999526.075,NaN
1786999531.075,NaN
1786999536.075,NaN
1786999541.075,NaN
1786999546.075,NaN
1786999551.075,NaN
1786999556.075,NaN
1786999561.075,NaN
1786999566.075,NaN
1786999571.075,NaN
1786999576.075,NaN
1786999581.075,NaN
1786999586.075,NaN
1786999591.075,NaN
1786999596.075,NaN
1786999601.075,NaN
1786999606.075,NaN
1786999611.075,NaN
1786999616.075,NaN
1786999621.075,NaN
1786999626.075,NaN
1786999631.075,NaN
1786999636.075,NaN
1786999641.075,NaN
1786999646.075,NaN
1786999651.075,NaN
1786999656.075,NaN
1786999661.075,NaN
1786999666.075,NaN
1786999671.075,NaN
1786999676.075,NaN
1786999681.075,NaN
1786999686.075,NaN
1786999691.075,NaN
1786999696.075,NaN
1786999701.075,NaN
1786999706.075,NaN
1786999711.075,NaN
1786999716.075,NaN
1786999721.075,NaN
1786999726.075,NaN
1786999731.075,NaN
1786999736.075,NaN
1786999741.075,NaN
1786999746.075,NaN
1786999751.075,NaN
1786999756.075,NaN
1786999761.075,NaN
1786999766.075,NaN
1786999771.075,NaN
1786999776.075,NaN
1786999781.075,NaN
1786999786.075,NaN
1786999791.075,NaN
1786999796.075,NaN
1786999801.075,NaN
1786999806.075,NaN
1786999811.075,NaN
1786999816.075,NaN
1786999821.075,NaN
1786999826.075,NaN
1786999831.075,NaN
1786999836.075,NaN
1786999841.075,NaN
1786999846.075,NaN
1786999851.075,NaN
1786999856.075,NaN
1786999861.075,NaN
1786999866.075,NaN
1786999871.075,NaN
1786999876.075,NaN
1786999881.075,NaN
1786999886.075,NaN
1786999891.075,NaN
1786999896.075,NaN
1786999901.075,NaN
1786999906.075,NaN
1786999911.075,NaN
1786999916.075,NaN
1786999921.075,NaN
1786999926.075,NaN
1786999931.075,NaN
1786999936.075,NaN
1786999941.075,NaN
1786999946.075,NaN
1786999951.075,NaN
