timestamp,latency_ms_p95,tier
1786627013.623,NaN,balanced
1786627018.623,NaN,balanced
1786627023.623,NaN,balanced
1786627028.623,NaN,balanced
1786627033.623,NaN,balanced
1786627038.623,NaN,balanced
1786627043.623,NaN,balanced
1786627048.623,NaN,balanced
1786627053.623,NaN,balanced
1786627058.623,NaN,balanced
1786627063.623,NaN,balanced
1786627068.623,NaN,balanced
1786627073.623,NaN,balanced
1786627078.623,NaN,balanced
1786627083.623,NaN,balanced
1786627088.623,NaN,balanced
1786627093.623,NaN,balanced
1786627098.623,NaN,balanced
1786627103.623,NaN,balanced
1786627108.623,NaN,balanced
1786627113.623,22.375,balanced
1786627118.623,23.125,balanced
1786627123.623,23.403225806451612,balanced
1786627128.623,23.083333333333332,balanced
1786627133.623,23.085106382978715,balanced
1786627138.623,23.325892857142854,balanced
1786627143.623,23.315573770491802,balanced
1786627148.623,23.499999999999993,balanced
1786627153.623,23.699999999999996,balanced
1786627158.623,23.909090909090907,balanced
1786627163.623,23.8875,balanced
1786627168.623,23.861111111111107,balanced
1786627173.623,24.11567164179104,balanced
1786627178.623,24.095238095238095,balanced
1786627183.623,24.379921259842515,balanced
1786627188.623,24.672932330827063,balanced
1786627193.623,24.72959183673469,balanced
1786627198.623,24.707317073170728,balanced
1786627203.623,24.595170454545453,balanced
1786627208.623,24.729838709677416,balanced
1786627213.623,24.58474576271186,balanced
1786627218.623,24.47790055248619,balanced
1786627223.623,24.405172413793103,balanced
1786627228.623,24.108571428571423,balanced
1786627233.623,23.969827586206897,balanced
1786627238.623,23.6875,balanced
1786627243.623,23.377272727272725,balanced
1786627248.623,23.03253424657534,balanced
1786627253.623,22.695255474452548,balanced
1786627258.623,22.345238095238088,balanced
1786627263.623,21.286407766990294,balanced
1786627268.623,21.37610619469026,balanced
1786627273.623,21.263274336283178,balanced
1786627278.623,21.377118644067792,balanced
1786627283.623,21.270642201834868,balanced
1786627288.623,21.335526315789473,balanced
1786627293.623,21.475609756097562,balanced
1786627298.623,21.36999999999999,balanced
1786627303.623,21.272556390977442,balanced
1786627308.623,21.18233082706766,balanced
1786627313.623,21.255639097744357,balanced
1786627318.623,21.357142857142854,balanced
1786627323.623,21.135714285714286,balanced
1786627328.623,21.060439560439566,balanced
1786627333.623,20.763513513513516,balanced
1786627338.623,20.80633802816901,balanced
1786627343.623,20.862499999999997,balanced
1786627348.623,20.430232558139522,balanced
1786627353.623,20.607142857142854,balanced
1786627358.623,20.98913043478261,balanced
1786627363.623,21.549999999999994,balanced
1786627368.623,NaN,balanced
