timestamp,latency_ms_p99
1786676307.264,255.31203215968878
1786676312.264,253.26531192718505
1786676317.264,270.6397867537579
1786676322.264,266.75812807404884
1786676327.264,366.503113119829
1786676332.264,480.9117887904216
1786676337.264,462.5071072556287
1786676342.264,1836.3636701727976
1786676347.264,2073.5562407878706
1786676352.264,2209.995217644063
1786676357.264,2506.9124672073594
1786676362.264,2641.923076923079
1786676367.264,2721.333333333334
1786676372.264,2727.3333333333353
1786676377.264,2753.7142857142853
1786676382.264,2922.153846153846
1786676387.264,4348.717948717946
1786676392.264,4704.637681159424
1786676397.264,4837.849462365593
1786676402.264,4880.582524271843
1786676407.264,4902.71844660194
1786676412.264,4928.823529411766
1786676417.264,4962.178217821781
1786676422.264,4983.000000000001
1786676427.264,4994.6
1786676432.264,5000
1786676437.264,5000
1786676442.264,5000
1786676447.264,5000
1786676452.264,5000
1786676457.264,NaN
1786676462.264,NaN
1786676467.264,NaN
1786676472.264,NaN
1786676477.264,NaN
1786676482.264,NaN
1786676487.264,NaN
1786676492.264,NaN
1786676497.264,NaN
1786676502.264,NaN
1786676507.264,NaN
1786676512.264,NaN
1786676517.264,NaN
1786676522.264,NaN
1786676527.264,NaN
1786676532.264,NaN
1786676537.264,NaN
1786676542.264,NaN
1786676547.264,NaN
1786676552.264,NaN
1786676557.264,NaN
1786676562.264,NaN
1786676567.264,NaN
1786676572.264,NaN
1786676577.264,NaN
1786676582.264,NaN
1786676587.264,NaN
1786676592.264,NaN
1786676597.264,NaN
1786676602.264,NaN
1786676607.264,NaN
1786676612.264,NaN
1786676617.264,NaN
1786676622.264,NaN
1786676627.264,NaN
1786676632.264,NaN
1786676637.264,NaN
1786676642.264,NaN
1786676647.264,NaN
1786676652.264,NaN
1786676657.264,NaN
1786676662.264,NaN
1786676667.264,NaN
1786676672.264,NaN
1786676677.264,NaN
1786676682.264,NaN
1786676687.264,NaN
1786676692.264,NaN
1786676697.264,NaN
1786676702.264,NaN
1786676707.264,NaN
1786676712.264,NaN
1786676717.264,NaN
1786676722.264,NaN
1786676727.264,NaN
1786676732.264,NaN
1786676737.264,NaN
1786676742.264,NaN
1786676747.264,NaN
1786676752.264,NaN
1786676757.264,NaN
1786676762.264,NaN
1786676767.264,283.9999999999999
1786676772.264,580.0000000000003
1786676777.264,482.50000000000045
1786676782.264,486.7272727272728
1786676787.264,482.6666666666675
1786676792.264,474.9411764705873
1786676797.264,509.2857142857164
1786676802.264,495.60000000000105
1786676807.264,1947.222222222226
1786676812.264,2592.222222222234
1786676817.264,2694.3999999999933
1786676822.264,2677.0370370370383
1786676827.264,2666.7857142857124
1786676832.264,2723.3333333333303
1786676837.264,2741.21212121212
1786676842.264,2743.8888888888837
1786676847.264,3456.4705882352964
1786676852.264,4557.931034482758
1786676857.264,4773.548387096775
1786676862.264,4843.358778625954
1786676867.264,4855.259259259261
1786676872.264,4873.582089552239
1786676877.264,4896.86567164179
1786676882.264,4919.10447761194
1786676887.264,4936.119402985074
1786676892.264,4942.686567164178
1786676897.264,4972.388059701492
1786676902.264,4985.785123966943
1786676907.264,4986.25
1786676912.264,4904.888888888889
1786676917.264,4700
1786676922.264,NaN
1786676927.264,NaN
1786676932.264,NaN
1786676937.264,NaN
1786676942.264,NaN
1786676947.264,NaN
1786676952.264,NaN
1786676957.264,NaN
1786676962.264,NaN
1786676967.264,NaN
1786676972.264,NaN
1786676977.264,NaN
1786676982.264,NaN
1786676987.264,NaN
1786676992.264,NaN
1786676997.264,NaN
1786677002.264,NaN
1786677007.264,NaN
1786677012.264,NaN
1786677017.264,NaN
1786677022.264,NaN
1786677027.264,NaN
1786677032.264,NaN
1786677037.264,NaN
1786677042.264,NaN
1786677047.264,NaN
1786677052.264,NaN
1786677057.264,NaN
1786677062.264,NaN
1786677067.264,NaN
1786677072.264,NaN
1786677077.264,NaN
1786677082.264,NaN
1786677087.264,NaN
1786677092.264,NaN
1786677097.264,NaN
1786677102.264,NaN
1786677107.264,NaN
1786677112.264,NaN
1786677117.264,NaN
1786677122.264,NaN
1786677127.264,NaN
1786677132.264,NaN
1786677137.264,NaN
1786677142.264,NaN
1786677147.264,NaN
1786677152.264,NaN
1786677157.264,NaN
1786677162.264,NaN
1786677167.264,NaN
1786677172.264,NaN
1786677177.264,NaN
1786677182.264,NaN
1786677187.264,NaN
1786677192.264,NaN
1786677197.264,NaN
1786677202.264,NaN
1786677207.264,NaN
1786677212.264,NaN
1786677217.264,NaN
1786677222.264,NaN
1786677227.264,NaN
1786677232.264,NaN
1786677237.264,NaN
1786677242.264,NaN
1786677247.264,NaN
1786677252.264,NaN
1786677257.264,NaN
1786677262.264,NaN
1786677267.264,NaN
1786677272.264,NaN
1786677277.264,NaN
1786677282.264,NaN
1786677287.264,NaN
1786677292.264,NaN
1786677297.264,NaN
1786677302.264,NaN
1786677307.264,NaN
1786677312.264,NaN
1786677317.264,NaN
1786677322.264,NaN
1786677327.264,NaN
1786677332.264,NaN
1786677337.264,NaN
1786677342.264,262
1786677347.264,472.49999999999926
1786677352.264,471.66666666666765
1786677357.264,501.2499999999977
1786677362.264,498.25000000000017
1786677367.264,497.3333333333336
1786677372.264,574.750000000001
1786677377.264,559.4999999999994
1786677382.264,1993.3333333333321
1786677387.264,2247.8571428571577
1786677392.264,2359.4736842105326
1786677397.264,2572.90322580645
1786677402.264,2648.46153846154
1786677407.264,2674.761904761906
1786677412.264,2693.0952380952376
1786677417.264,2683.5714285714294
1786677422.264,2989.565217391304
1786677427.264,4503.703703703709
1786677432.264,4639.499999999997
1786677437.264,4650.843373493975
1786677442.264,4820.454545454547
1786677447.264,4857.727272727273
