timestamp,latency_ms_p99
1786626918.623,10
1786626923.623,10
1786626928.623,10
1786626933.623,10
1786626938.623,10
1786626943.623,10
1786626948.623,10
1786626953.623,10
1786626958.623,10
1786626963.623,10
1786626968.623,10
1786626973.623,10
1786626978.623,10
1786626983.623,10
1786626988.623,10
1786626993.623,10
1786626998.623,10
1786627003.623,10
1786627008.623,10
1786627013.623,10
1786627018.623,10
1786627023.623,10
1786627028.623,10
1786627033.623,10
1786627038.623,10
1786627043.623,10
1786627048.623,10
1786627053.623,10
1786627058.623,10
1786627063.623,10
1786627068.623,NaN
1786627073.623,NaN
1786627078.623,NaN
1786627083.623,NaN
1786627088.623,NaN
1786627093.623,NaN
1786627098.623,NaN
1786627103.623,NaN
1786627108.623,NaN
1786627113.623,NaN
1786627118.623,NaN
1786627123.623,NaN
1786627128.623,NaN
1786627133.623,NaN
1786627138.623,NaN
1786627143.623,NaN
1786627148.623,NaN
1786627153.623,NaN
1786627158.623,NaN
1786627163.623,NaN
1786627168.623,NaN
1786627173.623,NaN
1786627178.623,NaN
1786627183.623,NaN
1786627188.623,NaN
1786627193.623,NaN
1786627198.623,NaN
1786627203.623,NaN
1786627208.623,NaN
1786627213.623,NaN
1786627218.623,NaN
1786627223.623,NaN
1786627228.623,NaN
1786627233.623,NaN
1786627238.623,NaN
1786627243.623,NaN
1786627248.623,NaN
1786627253.623,NaN
1786627258.623,NaN
1786627263.623,NaN
1786627268.623,NaN
1786627273.623,NaN
1786627278.623,NaN
1786627283.623,NaN
1786627288.623,NaN
1786627293.623,NaN
1786627298.623,NaN
1786627303.623,NaN
1786627308.623,NaN
1786627313.623,NaN
1786627318.623,NaN
1786627323.623,NaN
1786627328.623,NaN
1786627333.623,NaN
1786627338.623,NaN
1786627343.623,NaN
1786627348.623,NaN
1786627353.623,NaN
1786627358.623,NaN
1786627363.623,NaN
1786627368.623,NaN
1786627373.623,NaN
1786627378.623,NaN
1786627383.623,NaN
1786627388.623,NaN
