timestamp,latency_ms_p50
1786998106.075,2500
1786998111.075,2500
1786998116.075,2500
1786998121.075,2500
1786998126.075,2500
1786998131.075,2500
1786998136.075,2500
1786998141.075,2500
1786998146.075,2500
1786998151.075,2500
1786998156.075,2500
1786998161.075,2500
1786998166.075,2500
1786998171.075,2500
1786998176.075,2500
1786998181.075,2500
1786998186.075,2500
1786998191.075,2500
1786998196.075,2500
1786998201.075,2500
1786998206.075,2500
1786998211.075,2500
1786998216.075,2500
1786998221.075,2500
1786998226.075,2500
1786998231.075,2500
1786998236.075,2500
1786998241.075,2500
1786998246.075,2500
1786998251.075,2500
1786998256.075,2500
1786998261.075,2500
1786998266.075,2500
1786998271.075,2500
1786998276.075,2500
1786998281.075,2500
1786998286.075,2500
1786998291.075,2500
1786998296.075,2500
1786998301.075,2500
1786998306.075,2500
1786998311.075,2500
1786998316.075,2500
1786998321.075,2500
1786998326.075,2500
1786998331.075,2500
1786998336.075,2500
1786998341.075,2500
1786998346.075,2500
1786998351.075,2500
1786998356.075,2500
1786998361.075,2500
1786998366.075,2500
1786998371.075,2500
1786998376.075,2500
1786998381.075,2500
1786998386.075,2500
1786998391.075,2500
1786998396.075,2500
1786998401.075,2500
1786998406.075,2500
1786998411.075,2500
1786998416.075,2500
1786998421.075,2500
1786998426.075,2500
1786998431.075,2500
1786998436.075,2500
1786998441.075,2500
1786998446.075,2500
1786998451.075,2500
1786998456.075,2500
1786998461.075,2500
1786998466.075,2500
1786998471.075,2500
1786998476.075,2500
1786998481.075,2500
1786998486.075,2500
1786998491.075,2500
1786998496.075,2500
1786998501.075,2500
1786998506.075,2500
1786998511.075,2500
1786998516.075,2500
1786998521.075,2500
1786998526.075,2500
1786998531.075,2500
1786998536.075,2500
1786998541.075,2500
1786998546.075,2500
1786998551.075,2500
1786998556.075,2500
1786998561.075,2500
1786998566.075,2500
1786998571.075,2500
1786998576.075,2500
1786998581.075,2500
1786998586.075,2500
1786998591.075,2500
1786998596.075,2500
1786998601.075,2500
1786998606.075,2500
1786998611.075,2500
1786998616.075,2500
1786998621.075,2500
1786998626.075,2500
1786998631.075,2500
1786998636.075,2500
1786998641.075,2500
1786998646.075,2500
1786998651.075,2500
1786998656.075,2500
1786998661.075,2500
1786998666.075,2500
1786998671.075,2500
1786998676.075,2500
1786998681.075,2500
1786998686.075,2500
1786998691.075,2500
1786998696.075,2500
1786998701.075,2500
1786998706.075,2500
1786998711.075,2500
1786998716.075,2500
1786998721.075,2500
1786998726.075,2500
1786998731.075,2500
1786998736.075,2500
1786998741.075,2500
1786998746.075,2500
1786998751.075,2500
1786998756.075,2500
1786998761.075,2500
1786998766.075,2500
1786998771.075,2500
1786998776.075,2500
1786998781.075,2500
1786998786.075,2500
1786998791.075,2500
1786998796.075,NaN
1786998801.075,NaN
1786998806.075,NaN
1786998811.075,NaN
1786998816.075,NaN
1786998821.075,NaN
1786998826.075,NaN
1786998831.075,NaN
1786998836.075,NaN
1786998841.075,NaN
1786998846.075,NaN
1786998851.075,NaN
1786998856.075,NaN
1786998861.075,NaN
1786998866.075,NaN
1786998871.075,NaN
1786998876.075,NaN
1786998881.075,NaN
1786998886.075,NaN
1786998891.075,NaN
1786998896.075,NaN
1786998901.075,NaN
1786998906.075,NaN
1786998911.075,NaN
1786998916.075,NaN
1786998921.075,NaN
1786998926.075,NaN
1786998931.075,NaN
1786998936.075,NaN
1786998941.075,NaN
1786998946.075,NaN
1786998951.075,NaN
1786998956.075,NaN
1786998961.075,NaN
1786998966.075,NaN
1786998971.075,NaN
