timestamp,latency_ms_p50,tier
1786998751.075,7.5,balanced
1786998756.075,7.5,balanced
1786998761.075,7.5,balanced
1786998766.075,7.5,balanced
1786998771.075,7.5,balanced
1786998776.075,7.5,balanced
1786998781.075,7.305157569470231,balanced
1786998786.075,7.510270978392478,balanced
1786998791.075,7.508619185028644,balanced
1786998796.075,7.506880279936401,balanced
1786998801.075,7.502049244786221,balanced
1786998806.075,7.502049244786222,balanced
1786998811.075,7.501939283976913,balanced
1786998816.075,7.501939283976913,balanced
1786998821.075,7.502044622734725,balanced
1786998826.075,7.649098576235325,balanced
1786998831.075,7.649098576235325,balanced
1786998836.075,7.647058823529411,balanced
1786998841.075,7.5,balanced
1786998846.075,7.5,balanced
1786998851.075,7.5,balanced
1786998856.075,7.5,balanced
1786998861.075,7.5,balanced
1786998866.075,7.352941176470589,balanced
1786998871.075,7.352941176470589,balanced
1786998876.075,7.205882352941177,balanced
1786998881.075,6.911764705882353,balanced
1786998886.075,6.875,balanced
1786998891.075,6.666666666666667,balanced
1786998896.075,6.428571428571429,balanced
1786998901.075,6.538461538461538,balanced
1786998906.075,6.73076923076923,balanced
1786998911.075,6.73076923076923,balanced
1786998916.075,6.73076923076923,balanced
1786998921.075,6.666666666666667,balanced
1786998926.075,6.666666666666667,balanced
1786998931.075,6.923076923076923,balanced
1786998936.075,6.923076923076923,balanced
1786998941.075,6.73076923076923,balanced
1786998946.075,7.166666666666667,balanced
1786998951.075,7.5,balanced
1786998956.075,7.333333333333333,balanced
1786998961.075,7.333333333333334,balanced
1786998966.075,7.333333333333334,balanced
1786998971.075,7.307692307692308,balanced
1786998976.075,7.5,balanced
1786998981.075,7.5,balanced
1786998986.075,7.5,balanced
1786998991.075,7.8125,balanced
1786998996.075,8.214285714285715,balanced
1786999001.075,8.5,balanced
1786999006.075,8.125,balanced
1786999011.075,8.333333333333332,balanced
1786999016.075,7.5,balanced
1786999021.075,NaN,balanced
1786999026.075,NaN,balanced
1786999031.075,NaN,balanced
1786999036.075,NaN,balanced
1786999041.075,NaN,balanced
1786999046.075,NaN,balanced
1786999051.075,NaN,balanced
1786999056.075,NaN,balanced
1786999061.075,NaN,balanced
1786999066.075,NaN,balanced
1786999071.075,NaN,balanced
1786999076.075,NaN,balanced
1786999081.075,NaN,balanced
1786999086.075,NaN,balanced
1786999091.075,NaN,balanced
1786999096.075,NaN,balanced
1786999101.075,NaN,balanced
1786999106.075,NaN,balanced
1786999111.075,NaN,balanced
1786999116.075,NaN,balanced
1786999121.075,NaN,balanced
1786999126.075,NaN,balanced
1786999131.075,NaN,balanced
1786999136.075,15,balanced
1786999141.075,8.653846153846153,balanced
1786999146.075,8.846153846153847,balanced
1786999151.075,8.421052631578947,balanced
1786999156.075,8.333333333333334,balanced
